entity_id,friendly_name,domain,area_id,area_name,state,suggested_usage,reason
binary_sensor.sean_room, Sean room,binary_sensor,bedroom,Bedroom,on,map,MAP: Show state indicator
binary_sensor.all_doors,All Doors,binary_sensor,,,unavailable,map,MAP: Show door/window open/closed state
binary_sensor.automation_suggestions_available,Automation Suggestions Available,binary_sensor,,,on,map,MAP: Show state indicator
binary_sensor.back_back_watering,Back back Watering,binary_sensor,,,off,map,MAP: Show state indicator
binary_sensor.backups_stale,Backups Stale,binary_sensor,,,off,map,MAP: Show state indicator
binary_sensor.breakfast_closet_door,Breakfast closet door,binary_sensor,kitchen,Kitchen,on,map,MAP: Show door/window open/closed state
binary_sensor.entry_all_occupancy,Entry All occupancy,binary_sensor,entry,Entry,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.entry_motion,Entry Motion,binary_sensor,entry,Entry,on,map,MAP: Show person icon when occupied/motion detected
binary_sensor.entry_person_occupancy,Entry Person occupancy,binary_sensor,entry,Entry,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.entry_bark_sound,Entry bark sound,binary_sensor,entry,Entry,off,map,MAP: Show door/window open/closed state
binary_sensor.entry_cry_sound,Entry cry sound,binary_sensor,entry,Entry,off,map,MAP: Show door/window open/closed state
binary_sensor.entry_scream_sound,Entry scream sound,binary_sensor,entry,Entry,off,map,MAP: Show door/window open/closed state
binary_sensor.entry_speech_sound,Entry speech sound,binary_sensor,entry,Entry,off,map,MAP: Show door/window open/closed state
binary_sensor.entry_yell_sound,Entry yell sound,binary_sensor,entry,Entry,off,map,MAP: Show door/window open/closed state
binary_sensor.front_all_occupancy,Front All occupancy,binary_sensor,entry,Entry,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.front_motion,Front Motion,binary_sensor,entry,Entry,on,map,MAP: Show person icon when occupied/motion detected
binary_sensor.front_person_occupancy,Front Person occupancy,binary_sensor,entry,Entry,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.front_bark_sound,Front bark sound,binary_sensor,entry,Entry,off,map,MAP: Highlight room when sound detected
binary_sensor.front_center_watering,Front center Watering,binary_sensor,entry,Entry,off,map,MAP: Show state indicator
binary_sensor.front_cry_sound,Front cry sound,binary_sensor,entry,Entry,off,map,MAP: Highlight room when sound detected
binary_sensor.front_flower_bed_watering,Front flower bed Watering,binary_sensor,entry,Entry,off,map,MAP: Show state indicator
binary_sensor.front_left_watering,Front left Watering,binary_sensor,entry,Entry,off,map,MAP: Show state indicator
binary_sensor.front_right_watering,Front right Watering,binary_sensor,entry,Entry,off,map,MAP: Show state indicator
binary_sensor.front_right_back_watering,Front right back Watering,binary_sensor,entry,Entry,off,map,MAP: Show state indicator
binary_sensor.front_right_sidewalk_watering,Front right sidewalk Watering,binary_sensor,entry,Entry,off,map,MAP: Show state indicator
binary_sensor.front_scream_sound,Front scream sound,binary_sensor,entry,Entry,off,map,MAP: Highlight room when sound detected
binary_sensor.front_speech_sound,Front speech sound,binary_sensor,entry,Entry,off,map,MAP: Highlight room when sound detected
binary_sensor.front_yell_sound,Front yell sound,binary_sensor,entry,Entry,off,map,MAP: Highlight room when sound detected
binary_sensor.game_door,Game door ,binary_sensor,,,on,map,MAP: Show door/window open/closed state
binary_sensor.garagecam_all_occupancy,Garagecam All occupancy,binary_sensor,garage,Garage,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.garagecam_motion,Garagecam Motion,binary_sensor,garage,Garage,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.garagecam_person_occupancy,Garagecam Person occupancy,binary_sensor,garage,Garage,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.garagecam_bark_sound,Garagecam bark sound,binary_sensor,garage,Garage,off,map,MAP: Highlight room when sound detected
binary_sensor.garagecam_cry_sound,Garagecam cry sound,binary_sensor,garage,Garage,off,map,MAP: Highlight room when sound detected
binary_sensor.garagecam_scream_sound,Garagecam scream sound,binary_sensor,garage,Garage,off,map,MAP: Highlight room when sound detected
binary_sensor.garagecam_speech_sound,Garagecam speech sound,binary_sensor,garage,Garage,off,map,MAP: Highlight room when sound detected
binary_sensor.garagecam_yell_sound,Garagecam yell sound,binary_sensor,garage,Garage,off,map,MAP: Highlight room when sound detected
binary_sensor.guest_closet_door,Guest closet door,binary_sensor,guest_room,Guest room,off,map,MAP: Show door/window open/closed state
binary_sensor.laundry_door,Laundry Door,binary_sensor,garage,Garage,on,map,MAP: Show door/window open/closed state
binary_sensor.left_side_watering,Left side Watering,binary_sensor,,,off,map,MAP: Show state indicator
binary_sensor.lights_on,Lights on,binary_sensor,,,off,map,MAP: Show state indicator
binary_sensor.living_all_occupancy,Living All occupancy,binary_sensor,living_room,Living Room,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.living_motion,Living Motion,binary_sensor,living_room,Living Room,on,map,MAP: Show person icon when occupied/motion detected
binary_sensor.living_person_occupancy,Living Person occupancy,binary_sensor,living_room,Living Room,off,map,MAP: Show person icon when occupied/motion detected
binary_sensor.living_bark_sound,Living bark sound,binary_sensor,living_room,Living Room,off,map,MAP: Highlight room when sound detected
binary_sensor.living_cry_sound,Living cry sound,binary_sensor,living_room,Living Room,off,map,MAP: Highlight room when sound detected
binary_sensor.living_scream_sound,Living scream sound,binary_sensor,living_room,Living Room,off,map,MAP: Highlight room when sound detected
binary_sensor.living_speech_sound,Living speech sound,binary_sensor,living_room,Living Room,off,map,MAP: Highlight room when sound detected
binary_sensor.living_yell_sound,Living yell sound,binary_sensor,living_room,Living Room,off,map,MAP: Highlight room when sound detected
binary_sensor.mud_room,Mud room,binary_sensor,,,off,map,MAP: Show state indicator
binary_sensor.nursery_all_occupancy,Nursery All occupancy,binary_sensor,nursery,Nursery,on,map,MAP: Show person icon when occupied/motion detected
binary_sensor.nursery_motion,Nursery Motion,binary_sensor,nursery,Nursery,on,map,MAP: Show person icon when occupied/motion detected
binary_sensor.nursery_person_occupancy,Nursery Person occupancy,binary_sensor,nursery,Nursery,on,map,MAP: Show person icon when occupied/motion detected
binary_sensor.nursery_bark_sound,Nursery bark sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.nursery_closet_door,Nursery closet door,binary_sensor,nursery,Nursery,off,map,MAP: Show door/window open/closed state
binary_sensor.nursery_cry_sound,Nursery cry sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.nursery_scream_sound,Nursery scream sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.nursery_speech_sound,Nursery speech sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.nursery_yell_sound,Nursery yell sound,binary_sensor,nursery,Nursery,off,map,MAP: Highlight room when sound detected
binary_sensor.pantry_door,Pantry door,binary_sensor,kitchen,Kitchen,off,map,MAP: Show door/window open/closed state
binary_sensor.rain_man_connectivity,Rain man Connectivity,binary_sensor,,,on,map,MAP: Show state indicator
binary_sensor.remote_ui,Remote UI,binary_sensor,,,on,map,MAP: Show state indicator
binary_sensor.right_backyard_watering,Right backyard Watering,binary_sensor,patio,patio,off,map,MAP: Show state indicator
binary_sensor.right_side_watering,Right side Watering,binary_sensor,,,off,map,MAP: Show state indicator
binary_sensor.sean_bathroom_door,Sean Bathroom Door,binary_sensor,bathroom,Bathroom,on,map,MAP: Show door/window open/closed state
binary_sensor.sean_crying,Sean Crying,binary_sensor,,,unknown,map,MAP: Highlight room when sound detected
binary_sensor.sean_bathroom_closet_door,Sean bathroom closet door,binary_sensor,bathroom,Bathroom,off,map,MAP: Show door/window open/closed state
binary_sensor.sean_room_closet_door,Sean room closet door ,binary_sensor,bedroom,Bedroom,on,map,MAP: Show door/window open/closed state
binary_sensor.baby_noise_15,baby_noise_-15,binary_sensor,,,unavailable,map,MAP: Highlight room when sound detected
